feature_id,name,feature_type,latitude,longitude,flood_risk
way/353805231,,building,19.0303628,73.0225282,True
way/353805232,,building,19.03071,73.0223415,True
way/353805233,,building,19.0292945,73.0213601,True
way/353805235,,building,19.0290953,73.0212792,True
way/353805236,,building,19.0272661,73.0225079,True
way/353805242,,building,19.0310388,73.021755,True
way/353805244,,building,19.0287213,73.0215001,True
way/353805246,,building,19.029853,73.0223879,True
way/353805247,,building,19.0304081,73.0220592,True
way/353805253,,building,19.0360918,73.0226945,True
way/353805254,,building,19.036025,73.0304504,True
way/353805255,,building,19.0294228,73.0233667,True
way/353805259,,building,19.0273369,73.0223412,True
way/353805262,,building,19.0307092,73.0227715,True
way/353805271,,building,19.0302192,73.0230375,True
way/353805274,,building,19.0274673,73.0226411,True
way/353820745,,building,19.029927,73.0367436,True
way/353827641,,building,19.0272211,73.0230572,True
way/353827645,,building,19.0296228,73.0232443,True
way/353827649,,building,19.0269793,73.0230457,True
way/353827650,,building,19.0292215,73.0234749,True
way/353827652,,building,19.0300068,73.0237759,True
way/353827656,,building,19.0269459,73.0231858,True
way/353827659,,building,19.0294365,73.0231423,True
way/353827664,,building,19.028366,73.021977,True
way/353827665,,building,19.0290935,73.0232246,True
way/353827669,,building,19.0274583,73.0233536,True
way/353827671,,building,19.0304338,73.0238756,True
way/353827673,,building,19.029666,73.0235729,True
way/353827674,,building,19.0282201,73.0220296,True
way/353827678,,building,19.0301022,73.021246,True
way/353827679,,building,19.0270339,73.0229044,True
way/353827680,,building,19.0294702,73.0235508,True
way/353827684,,building,19.0301451,73.0237746,True
way/353827686,,building,19.0296365,73.0234358,True
way/353827688,,building,19.0287415,73.0220386,True
way/353827689,,building,19.0295811,73.0231086,True
way/353827690,,building,19.0269086,73.0233163,True
way/353981423,,building,19.0330884,73.0233984,True
way/353981424,,building,19.0330699,73.0230254,True
way/353981438,,building,19.0344694,73.0224779,True
way/353981450,,building,19.0363995,73.022767,True
way/353981462,,building,19.0351378,73.0232135,True
way/353981473,,building,19.0351446,73.0234055,True
way/353981482,,building,19.0365006,73.0226543,True
way/353981484,,building,19.0357413,73.0301168,True
way/353981487,,building,19.0352117,73.0231385,True
way/353981502,,building,19.0290043,73.0304914,True
way/353981504,,building,19.0350828,73.0238175,True
way/353981515,,building,19.0259887,73.0323325,True
way/353981517,,building,19.0335826,73.021525,True
way/353981526,,building,19.0326785,73.0230284,True
way/353981532,,building,19.0361678,73.0229913,True
way/353981539,,building,19.0334942,73.0216173,True
way/353981544,,building,19.0352445,73.0233115,True
way/353981552,,building,19.035036,73.0218029,True
way/353981559,,building,19.0376731,73.0302121,True
way/353981561,,building,19.0350542,73.0233007,True
way/353981570,,building,19.0379417,73.0297404,True
way/353981582,,building,19.0289786,73.0306965,True
way/353981583,,building,19.0349897,73.0239022,True
way/353981587,,building,19.0349751,73.0233754,True
way/353981593,,building,19.0347727,73.0208305,True
way/353981601,,building,19.0345653,73.020808,True
way/353981603,,building,19.0376798,73.029772,True
way/353981609,,building,19.0351769,73.021631,True
way/353988021,,building,19.0257759,73.0322208,True
way/353988023,,building,19.0277722,73.0280558,True
way/353988026,,building,19.0278267,73.0278849,True
way/353988029,,building,19.0287249,73.0374968,True
way/353988031,,building,19.0285117,73.0275161,True
way/353988040,,building,19.0355457,73.0220123,True
way/353988041,,building,19.0285124,73.0276734,True
way/353988042,,building,19.0285126,73.0278311,True
way/353988043,,building,19.0285151,73.0279951,True
way/353988044,,building,19.0278199,73.0275492,True
way/353988045,,building,19.0335504,73.0256367,True
way/353988046,,building,19.035947,73.0221089,True
way/353988048,Siddhi Vinayak CHS,building,19.0318514,73.0206931,True
way/353988049,,building,19.030102,73.036369,True
way/353988054,,building,19.0355652,73.023911,True
way/353988055,,building,19.033596,73.0217808,True
way/353988058,,building,19.0338921,73.022873,True
way/353988064,,building,19.0349062,73.0242375,True
way/353988065,,building,19.0362869,73.0228885,True
way/353988066,,building,19.0350749,73.0234846,True
way/353988068,,building,19.033357,73.0220502,True
way/353988069,,building,19.0339725,73.0230303,True
way/353988073,,building,19.027804,73.0366567,True
way/353988076,,building,19.0334439,73.0228316,True
way/353988077,,building,19.0368316,73.0232192,True
way/353988081,,building,19.0342913,73.0235785,True
way/353988082,,building,19.0352687,73.0235955,True
way/353988086,,building,19.0282272,73.0361662,True
way/353988087,,building,19.0342261,73.0217871,True
way/353988094,,building,19.0351576,73.0237297,True
way/353988096,,building,19.0347585,73.0230955,True
way/353988099,,building,19.0285691,73.0367914,True
way/353988100,,building,19.0337396,73.0230592,True
way/353988103,,building,19.0285432,73.028176,True
way/353988105,,building,19.0347978,73.0241514,True
way/353988107,,building,19.0359482,73.0235655,True
way/353988111,,building,19.0346941,73.023389,True
way/353988113,,building,19.0354052,73.0234916,True
way/353988114,,building,19.0350096,73.0225817,True
way/353988116,,building,19.0286727,73.0368976,True
way/353988118,,building,19.0346846,73.0227384,True
way/353988126,,building,19.0355091,73.0235721,True
way/353988127,,building,19.0340497,73.0227096,True
way/353988129,,building,19.0280783,73.0370687,True
way/353988136,,building,19.0343082,73.0229768,True
way/353988138,,building,19.0347355,73.021183,True
way/353988152,,building,19.0356283,73.023835,True
way/353988155,,building,19.02798,73.0369709,True
way/353988156,,building,19.0343808,73.0236877,True
way/353988157,,building,19.0349469,73.0215465,True
way/353988161,,building,19.0350575,73.0240349,True
way/353988165,,building,19.0292714,73.0374958,True
way/353988167,,building,19.0371986,73.0221939,True
way/353988170,,building,19.0333453,73.0224056,True
way/353988180,,building,19.034276,73.0226892,True
way/353988186,,building,19.0280957,73.0374483,True
way/353988188,,building,19.0336452,73.0222679,True
way/353988190,,building,19.0367296,73.023337,True
way/353988194,,building,19.0352297,73.0238887,True
way/353988195,,building,19.0293676,73.0376907,True
way/353988199,,building,19.0283587,73.0362383,True
way/353988203,,building,19.034436,73.0234156,True
way/353988205,,building,19.0356975,73.0237563,True
way/353988213,,building,19.0335614,73.0223451,True
way/353988216,,building,19.0367084,73.0229334,True
way/353988223,,building,19.0291542,73.0373275,True
way/353988230,,building,19.0354084,73.0237038,True
way/353988234,,building,19.030488,73.0255618,True
way/353988238,,building,19.0283408,73.0365789,True
way/353988243,,building,19.0335048,73.0224204,True
way/353988249,,building,19.0355287,73.0230959,True
way/353988253,,building,19.0355678,73.0216691,True
way/353988258,,building,19.0337562,73.0214218,True
way/353988259,,building,19.0345877,73.0232514,True
way/353988262,,building,19.02841,73.0372023,True
way/353988267,,building,19.0345754,73.022664,True
way/353988273,,building,19.034892,73.0240084,True
way/353988280,,building,19.0354725,73.0234029,True
way/353988287,,building,19.034821,73.0232231,True
way/353988293,,building,19.0275879,73.0274831,True
way/353988307,,building,19.0348892,73.0231432,True
way/353988309,,building,19.035584,73.0234956,True
way/353988313,,building,19.0278917,73.0367662,True
way/353988315,,building,19.0283191,73.037124,True
way/353988317,,building,19.0340532,73.0223865,True
way/353988318,,building,19.036938,73.0231065,True
way/353988322,,building,19.0344183,73.0230872,True
way/353988329,,building,19.0310965,73.0375795,True
way/353988356,,building,19.0356837,73.0218981,True
way/353988358,,building,19.0277672,73.02735,True
way/353988363,,building,19.0289787,73.0373102,True
way/353997822,,building,19.0358682,73.0225135,True
way/353997825,,building,19.03464,73.0210404,True
way/353997840,,building,19.0386032,73.0254,True
way/353997851,,building,19.0390057,73.0249278,True
way/353997860,,building,19.0299028,73.020823,True
way/353997872,,building,19.0300485,73.020965,True
way/353997880,,building,19.0324708,73.020252,True
way/353997888,,building,19.032779,73.0204852,True
way/353997891,,building,19.0380538,73.0250579,True
way/353997900,,building,19.0382828,73.0248628,True
